ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC
32,male,40000,delivered,1,4,0,75,65,90,often,good,140,0,0,0,0,120,167.93,5,7
33,female,40000,carried,1,4,0,75,40,210,not_often,good,260,0,0,0,0,240,67.2,4,7
34,male,40000,delivered,1,3,0,75,30,120,often,good,170,0,0,0,0,270,93.52,5,7
35,female,40000,delivered,1,4,0,75,50,120,often,fair,170,0,0,0,1,160,102.07,5,7
36,female,40000,delivered,1,5,0,75,55,280,not_often,good,330,0,0,0,0,200,60.88,2,7
37,male,40000,carried,1,3,0,75,35,240,not_often,good,290,0,0,0,0,210,87,0,7
38,male,40000,delivered,1,4,0,75,45,165,not_often,fair,210,0,0,0,0,200,92.91,3,7
39,male,100000,delivered,1,4,0,75,50,120,often,good,170,0,0,0,0,160,126.53,3,7
40,male,60000,delivered,1,3,0,75,55,300,often,good,350,0,0,0,0,120,167.06,6,7
41,female,45000,delivered,1,3,0,75,65,120,often,fair,170,0,0,0,0,90,206.46,6,7
42,female,60000,delivered,1,3,0,75,70,260,not_often,fair,310,0,0,0,0,90,193.83,6,7
43,female,40000,delivered,1,4,0,75,65,120,often,good,170,0,0,0,0,120,188.4,4,7
44,female,60000,delivered,1,3,0,75,60,120,not_often,good,170,0,0,0,0,120,139.45,4,7
45,female,65000,carried,1,4,0,75,40,180,not_often,fair,230,0,0,0,0,240,74.4,3,7
46,male,100000,carried,1,4,0,75,25,360,not_often,fair,410,0,0,0,0,400,35.36,1,7
47,male,70000,carried,1,5,0,75,25,285,often,fair,330,0,0,0,0,400,51.62,1,7
48,female,100000,carried,1,6,0,75,55,240,often,good,290,0,0,0,0,240,90.8,1,7
49,female,85000,delivered,1,6,0,75,50,120,not_often,fair,170,0,0,0,0,120,136.56,2,7
50,female,100000,delivered,1,6,0,75,65,300,not_often,fair,350,0,0,0,0,120,150.72,4,7
51,female,90000,delivered,1,6,0,75,75,120,often,fair,170,0,0,0,0,180,102.08,1,7
52,female,105000,delivered,1,6,0,75,50,240,often,good,290,0,0,0,0,180,114.39,3,7
53,female,75000,delivered,1,4,0,75,60,120,often,fair,170,0,0,0,0,160,139.29,4,7
54,female,75000,delivered,1,4,0,75,75,120,not_often,good,170,0,0,0,0,120,188.53,3,7
55,female,75000,delivered,1,6,0,75,50,200,not_often,fair,250,0,0,0,0,120,189.11,3,7
56,female,75000,delivered,1,4,0,75,70,120,not_often,good,170,0,0,0,0,120,151.82,3,7
57,female,75000,delivered,1,5,0,75,60,310,not_often,fair,360,0,0,0,0,200,98.27,3,7
58,female,75000,carried,1,3,0,75,35,285,often,fair,330,0,0,0,0,240,66.1,3,7
59,female,75000,delivered,1,3,0,75,30,330,often,fair,380,0,0,0,0,270,54.04,2,7
60,female,75000,carried,1,3,0,75,25,280,often,fair,330,0,0,0,0,300,37.12,1,7
61,female,80000,delivered,1,4,0,75,40,210,often,good,260,0,0,0,0,240,77.16,2,7
62,female,40000,delivered,1,4,0,75,45,165,not_often,good,210,0,0,0,0,200,118.44,2,7
63,female,75000,delivered,1,4,0,75,50,165,not_often,very good,210,0,0,0,0,120,176.82,3,7
64,female,40000,delivered,1,4,0,75,90,100,not_often,very good,150,0,0,0,0,80,235.36,6,7
65,female,45000,delivered,1,3,0,75,130,165,often,very good,210,0,0,0,0,60,254.87,7,7
66,female,90000,delivered,1,6,0,75,120,165,often,good,210,0,0,0,0,60,296.1,9,7
67,female,50000,carried,1,4,0,75,50,200,often,good,250,0,0,0,0,120,207.2,5,7
68,female,60000,carried,1,3,0,75,75,165,often,good,210,0,0,0,0,90,238.32,6,7
69,female,60000,delivered,1,4,0,75,70,165,often,good,210,0,0,0,0,120,197.28,5,7
70,female,60000,delivered,1,6,0,75,120,310,often,good,360,0,0,0,0,60,228.64,6,7
71,female,60000,delivered,1,4,0,75,120,165,not_often,fair,210,0,0,0,0,40,237.98,6,7
72,female,60000,delivered,1,5,0,75,130,165,not_often,fair,210,0,0,0,0,100,197.31,5,7
73,female,60000,delivered,1,3,0,75,60,120,often,fair,170,0,0,0,0,120,209.4,5,7
74,female,60000,delivered,1,4,0,75,130,280,often,fair,330,0,0,0,0,80,261.01,6,7
75,female,65000,delivered,1,5,0,75,90,120,often,good,170,0,0,0,0,100,234.85,6,7
76,female,70000,delivered,1,4,0,75,130,120,not_often,good,170,0,0,0,0,80,281.32,4,7
77,female,40000,delivered,1,4,0,75,120,300,not_often,fair,350,0,0,0,0,40,344.41,0,7
78,female,45000,delivered,1,3,0,75,130,120,not_often,good,170,0,0,0,0,60,315.41,1,7
79,female,95000,delivered,1,6,0,75,120,120,often,fair,170,0,0,0,0,60,347.59,2,7
80,female,105000,delivered,1,4,0,75,120,120,often,good,170,0,0,0,0,40,372.86,3,7
81,female,75000,delivered,1,6,0,75,113,180,not_often,good,230,0,0,0,0,60,408.79,5,7
82,female,60000,delivered,1,3,0,75,130,120,often,fair,170,0,0,0,0,60,389.42,4,7
83,female,105000,delivered,1,3,0,75,130,120,often,good,170,0,0,0,0,60,415.88,8,7
84,female,95000,delivered,1,6,0,75,120,220,not_often,fair,270,0,0,0,0,60,465.97,15,7
85,female,80000,delivered,1,4,0,75,130,120,not_often,fair,170,0,0,0,0,80,491.23,11,7
86,female,45000,delivered,1,3,0,75,92,120,not_often,fair,170,0,0,0,0,90,434.01,4,7
87,female,60000,delivered,1,3,0,75,92,180,often,good,230,0,0,0,0,90,491.92,3,7
88,female,85000,delivered,1,6,0,75,122,120,often,good,170,0,0,0,0,60,422.2,3,7
89,female,45000,delivered,1,3,0,75,62,190,often,fair,240,0,0,0,0,120,349.23,8,7
90,female,45000,delivered,1,3,0,75,62,120,not_often,good,170,0,0,0,0,120,326.96,10,7
91,female,45000,delivered,1,4,0,75,55,165,not_often,good,210,0,0,0,0,200,297.43,7,7
92,female,45000,delivered,1,4,0,75,62,165,not_often,good,210,0,0,0,0,160,345.24,11,7
93,female,45000,delivered,1,6,0,75,132,100,not_often,fair,150,0,0,0,0,120,318.68,10,7
94,female,45000,delivered,1,6,0,75,132,165,often,fair,210,0,0,0,0,120,292.31,9,7
95,female,45000,delivered,1,6,0,75,135,120,not_often,very good,170,0,0,0,0,120,320.98,10,7
96,female,45000,delivered,1,3,0,75,62,165,not_often,very good,210,0,0,0,0,120,359.9,16,7
97,female,45000,delivered,1,4,0,75,92,165,often,very good,210,0,0,0,0,120,322.58,12,7
98,female,50000,delivered,1,4,0,75,55,200,not_often,fair,250,0,0,0,0,200,266.32,10,7
99,female,80000,delivered,1,4,0,75,92,165,not_often,fair,210,0,0,0,0,120,364.61,9,7
100,female,70000,delivered,1,5,0,75,25,285,often,fair,330,0,0,0,0,400,239.56,2,7
101,female,85000,delivered,1,6,107,74,32,240,often,good,290,0,0,0,0,420,90.27,2,7
102,female,105000,delivered,1,3,107,74,13,480,often,fair,300,0,0,0,0,390,201.42,2,7
103,female,40000,delivered,1,4,107,74,42,285,not_often,fair,330,0,0,0,0,320,154.25,3,7
104,female,65000,delivered,1,5,107,74,62,210,often,fair,260,0,0,0,0,300,169.96,3,7
105,female,85000,delivered,1,6,107,74,65,165,not_often,fair,210,0,0,0,0,300,173.93,6,7
106,female,60000,delivered,1,3,107,74,25,405,not_often,good,450,0,0,0,0,330,144.14,6,7
107,female,75000,delivered,1,4,107,74,25,200,not_often,very good,250,0,0,0,0,320,164,6,7
108,female,55000,delivered,1,5,107,74,25,285,not_often,fair,330,0,0,0,0,400,108.26,2,7
109,female,95000,delivered,1,6,107,74,42,210,often,good,260,0,0,0,0,360,113.89,2,7
110,female,75000,delivered,1,4,107,74,32,330,not_often,good,380,0,0,0,0,360,183.35,1,7
111,female,85000,delivered,1,6,107,74,52,165,not_often,fair,210,0,0,0,0,300,226.74,2,7
112,female,85000,delivered,1,4,107,74,42,240,not_often,fair,290,0,0,0,0,280,283.47,1,7
113,female,85000,delivered,1,3,107,74,25,360,not_often,good,410,0,0,0,0,300,261.69,2,7
114,female,85000,carried,1,4,107,74,25,405,often,good,450,0,0,0,0,440,118.68,2,7
115,female,85000,delivered,1,5,107,74,22,450,often,fair,500,0,0,0,0,600,33.53,1,7
116,female,85000,delivered,1,5,107,74,52,210,often,fair,260,0,0,0,0,300,142.44,2,7
117,female,85000,carried,1,4,107,74,35,220,not_often,good,270,0,0,0,0,400,81.5,0,7
118,female,85000,carried,1,5,107,74,32,285,not_often,good,330,0,0,0,0,400,88.28,2,7
119,female,100000,delivered,1,3,107,74,25,180,not_often,good,230,0,0,0,0,300,199.4,5,7
120,female,80000,delivered,1,6,107,74,52,165,not_often,good,210,0,0,0,0,300,172,7,7
121,male,40000,delivered,1,4,107,74,35,285,often,fair,330,0,0,0,0,320,147.49,3,7
122,female,50000,delivered,1,4,107,74,25,360,often,fair,410,0,0,0,0,400,57.01,1,7
123,female,100000,carried,1,3,107,74,13,480,not_often,good,300,0,0,0,0,390,56.75,2,7
124,female,100000,delivered,1,4,107,74,35,220,often,good,270,0,0,0,0,320,145.91,8,7
125,female,40000,delivered,1,4,107,74,22,405,not_often,good,450,0,0,0,0,440,55.01,1,7
126,female,100000,carried,1,3,107,74,13,350,not_often,good,400,0,0,0,0,390,88.62,4,7
127,female,60000,carried,1,3,107,74,13,480,often,good,300,0,0,0,0,390,97.74,3,7
128,female,40000,carried,1,4,107,74,22,450,not_often,fair,500,0,0,0,0,480,32.02,1,7
129,female,95000,carried,1,6,107,74,42,240,often,good,290,0,0,0,0,420,79.88,0,7
130,female,45000,delivered,1,3,107,74,13,480,not_often,good,300,0,0,0,1,390,95.52,4,7
131,female,85000,carried,1,4,107,74,25,405,often,good,450,0,0,0,0,440,56.01,1,7
132,female,60000,delivered,1,3,107,74,22,450,not_often,fair,500,0,0,0,0,360,94.37,1,7
133,female,75000,delivered,1,4,107,74,15,480,often,good,300,0,0,0,0,520,23.85,1,7
134,female,80000,carried,1,4,107,74,25,300,not_often,good,350,0,0,0,0,440,74.17,1,7
135,female,95000,carried,1,6,107,74,42,240,often,fair,290,0,0,0,0,420,79.2,1,7
136,female,95000,delivered,1,6,107,74,32,330,not_often,good,380,0,0,0,0,540,30.59,1,7
137,female,95000,carried,1,4,107,74,22,450,not_often,fair,500,0,0,0,0,480,67.08,2,7
138,female,95000,delivered,1,5,107,74,32,230,often,good,280,0,0,0,0,450,69.35,2,7
139,female,95000,delivered,1,3,107,74,5,600,not_often,good,450,0,0,0,0,480,49.48,1,7
140,female,95000,delivered,1,3,107,74,5,480,often,fair,300,0,0,0,0,480,45.88,0,7
141,female,95000,carried,1,4,107,74,25,360,often,fair,410,0,0,0,0,400,93.91,3,7
142,female,75000,delivered,1,6,107,74,25,280,often,good,330,0,0,0,0,600,10.77,0,7
143,female,95000,delivered,1,6,107,74,35,285,often,good,330,0,0,0,0,480,60.44,2,7
144,female,60000,carried,1,3,107,74,5,720,not_often,good,380,0,0,0,0,570,35.44,1,7
145,female,75000,carried,1,4,107,74,22,450,not_often,good,500,0,0,0,0,480,59.51,0,7
146,female,40000,delivered,1,4,107,74,25,180,not_often,good,230,0,0,0,0,400,99.76,1,7
147,female,65000,delivered,1,5,107,74,35,285,often,good,330,0,0,0,0,400,89.47,2,7
148,female,85000,carried,1,6,107,74,35,300,not_often,fair,350,0,0,0,0,480,57.71,1,7
149,female,40000,delivered,1,4,107,74,62,120,not_often,fair,170,0,0,0,0,160,229.59,8,7
150,female,45000,carried,1,3,107,74,5,645,not_often,good,400,0,0,0,0,510,36.36,1,7
151,female,65000,delivered,1,5,107,74,35,285,often,good,330,0,0,0,0,400,129.4,5,7
152,female,40000,delivered,1,4,107,74,32,360,often,fair,410,0,0,0,0,400,121.5,4,7
153,female,40000,delivered,1,6,107,74,42,210,often,good,260,0,0,0,0,360,177.72,4,7
154,female,40000,delivered,1,5,107,74,132,380,often,good,430,0,0,0,0,100,230.65,7,7
155,female,40000,delivered,1,4,107,74,92,210,often,fair,260,0,0,0,0,120,294.54,6,7
156,female,40000,delivered,1,4,107,74,92,210,not_often,fair,260,0,0,0,0,120,178.72,2,7
157,female,40000,delivered,1,5,107,74,132,380,not_often,fair,430,0,0,0,0,100,196.02,9,7
158,female,90000,delivered,1,6,107,74,122,210,often,fair,260,0,0,0,0,60,224.45,11,7
159,female,105000,delivered,1,6,107,74,113,180,often,fair,230,0,0,0,0,120,215.2,11,7
160,female,70000,delivered,1,5,107,74,113,210,not_often,fair,260,0,0,0,0,100,210.11,5,7
161,female,70000,delivered,1,3,107,74,92,210,often,fair,260,0,0,0,0,90,250.91,6,7
162,female,70000,delivered,1,5,107,74,122,180,often,good,230,0,0,0,0,50,332.63,7,7
163,female,70000,delivered,1,6,107,74,122,210,not_often,good,260,0,0,0,0,60,389.28,1,7
164,female,70000,delivered,1,3,107,74,132,370,often,fair,420,0,0,0,0,60,448.99,3,7
165,female,105000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,80,338.76,10,7
166,female,40000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,80,305.81,18,7
167,female,100000,delivered,1,3,107,74,92,320,not_often,fair,370,0,0,0,0,90,308.01,18,7
168,female,40000,delivered,1,4,107,74,132,210,not_often,fair,260,0,0,0,0,80,400.05,22,7
169,female,50000,delivered,1,4,107,74,132,140,not_often,fair,190,0,0,0,0,80,420.33,23,7
170,female,55000,delivered,1,3,107,74,92,210,often,good,260,0,0,0,0,90,378.8,18,7
171,female,70000,delivered,1,5,107,74,122,210,not_often,fair,260,0,0,0,0,50,426.9,11,7
172,female,50000,delivered,1,4,107,74,132,180,often,fair,230,0,0,0,0,80,473.33,10,7
173,female,80000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,80,531.51,18,7
174,female,80000,delivered,1,5,107,74,132,210,not_often,fair,260,0,0,0,0,50,527.39,16,7
175,female,80000,delivered,1,6,107,74,122,190,often,fair,240,0,0,0,0,60,463.04,4,7
176,female,80000,delivered,1,3,107,74,132,210,not_often,good,260,0,0,0,0,60,488.07,26,7
177,female,80000,delivered,1,4,107,74,120,210,often,good,260,0,0,0,0,80,474.22,15,7
178,female,80000,delivered,1,4,107,74,120,400,often,fair,450,0,0,0,0,80,469.3,24,7
179,female,80000,delivered,1,5,107,74,130,210,not_often,good,260,0,0,0,0,50,470.34,17,7
180,female,80000,delivered,1,3,107,74,50,120,not_often,fair,170,0,0,0,0,120,405.81,9,7
181,female,80000,delivered,1,4,107,74,90,280,not_often,fair,330,0,0,0,0,120,379.33,16,7
182,female,50000,delivered,1,4,107,74,90,120,often,good,170,0,0,0,0,120,323.36,12,7
183,female,60000,delivered,1,3,107,74,90,120,not_often,fair,170,0,0,0,0,90,373.55,9,7
184,female,50000,delivered,1,4,107,74,55,165,not_often,good,210,0,0,0,0,200,268.75,9,7
185,female,70000,carried,1,5,107,74,130,380,not_often,good,430,0,0,0,0,100,342.38,2,7
186,female,95000,carried,1,5,107,74,130,165,not_often,good,210,0,0,0,0,100,297.26,6,7
187,female,95000,delivered,1,6,107,74,130,120,often,good,170,0,0,0,1,120,231.68,8,7
188,female,65000,delivered,1,5,107,74,120,165,not_often,good,210,0,0,0,0,100,237.2,0,7
189,female,45000,delivered,1,3,107,74,20,280,not_often,good,330,0,0,0,0,300,186.42,6,7
190,female,40000,delivered,1,4,107,74,20,360,not_often,fair,410,0,0,0,0,400,72.57,3,7
191,female,55000,carried,1,3,107,74,13,450,not_often,fair,500,0,0,0,0,360,112.72,3,7
192,female,55000,delivered,1,3,107,74,13,450,often,fair,500,0,0,0,0,360,159.14,6,7
193,female,85000,delivered,1,6,107,74,50,165,often,fair,210,0,0,0,0,300,196.45,4,7
194,female,90000,delivered,1,5,107,74,40,210,often,fair,260,0,0,0,0,300,222.3,9,7
195,female,60000,carried,1,3,107,74,13,280,often,good,330,0,0,0,0,390,128.72,1,7
196,female,100000,carried,1,4,107,74,35,285,not_often,good,330,0,0,0,0,320,306.37,15,7
197,female,100000,carried,1,6,107,74,40,210,often,good,260,0,0,0,0,360,196.6,3,7
198,female,40000,delivered,1,4,107,74,30,330,often,good,380,0,0,0,0,360,211.02,2,7
199,female,50000,delivered,1,3,107,74,13,480,not_often,fair,300,0,0,0,0,390,192.63,4,7
200,female,75000,delivered,1,4,107,74,30,330,often,good,380,0,0,0,0,360,230.85,2,7
201,female,95000,delivered,1,6,284,76,40,285,not_often,good,330,0,0,0,0,480,101.84,0,7
202,female,55000,delivered,1,3,284,76,13,570,often,good,280,0,0,0,0,450,138.64,2,7
203,female,65000,delivered,1,4,284,76,13,480,not_often,good,300,0,0,0,0,520,105.08,1,7
204,female,105000,carried,1,3,284,76,5,720,often,fair,380,0,0,0,0,570,72.84,0,7
205,male,65000,carried,1,5,284,76,20,300,often,good,350,0,0,0,0,550,87.14,1,7
206,male,60000,delivered,1,3,284,76,13,600,not_often,fair,450,0,0,0,0,480,113.88,4,7
207,female,75000,carried,1,4,284,76,20,450,often,fair,500,0,0,0,0,480,137.06,2,7
208,male,105000,carried,1,4,284,76,20,380,often,good,430,0,0,0,0,480,132.09,4,7
209,female,45000,carried,1,3,284,76,5,765,often,good,280,0,0,0,0,600,55.07,3,7
210,female,80000,delivered,1,4,284,76,5,525,not_often,fair,480,0,0,0,0,560,85.29,4,7
211,female,80000,carried,1,4,284,76,5,600,not_often,good,450,0,0,0,0,640,27.07,1,7
212,female,95000,delivered,1,6,284,76,54,165,not_often,good,210,0,0,0,0,300,146.49,2,7
213,female,85000,delivered,1,6,284,76,54,270,often,fair,320,0,0,0,0,300,131.61,2,7
214,female,40000,carried,1,4,284,76,44,240,often,good,290,0,0,0,0,280,152.63,1,7
215,female,100000,carried,1,4,284,76,34,310,not_often,fair,360,0,0,0,1,400,76.69,1,7
216,female,95000,carried,1,6,284,76,45,210,not_often,fair,260,0,0,0,0,360,105.72,2,7
217,female,95000,carried,1,6,284,76,45,380,often,fair,430,0,0,0,0,360,90.44,2,7
218,female,95000,carried,1,6,284,76,44,285,often,good,330,0,0,0,0,480,39.66,0,7
219,female,95000,carried,1,4,284,76,13,450,often,fair,500,0,0,0,0,480,79.4,2,7
220,female,95000,delivered,1,6,284,76,54,165,often,good,210,0,0,0,0,300,118.98,1,7
221,female,95000,carried,1,4,284,76,44,240,often,fair,290,0,0,0,0,280,144.81,0,7
222,female,50000,carried,1,4,284,76,25,360,often,fair,410,0,0,0,0,400,85.98,3,7
223,female,75000,carried,1,4,284,76,13,525,not_often,fair,480,0,0,0,0,560,35.47,1,7
224,female,80000,delivered,1,4,284,76,35,285,often,good,330,0,0,0,0,320,105.39,3,7
225,female,75000,delivered,1,4,284,76,5,570,often,good,280,0,0,0,0,600,55.11,0,7
226,female,80000,delivered,1,4,284,76,34,330,often,fair,380,0,0,0,0,360,104.04,0,7
227,female,80000,carried,1,6,284,76,54,165,often,fair,210,0,0,0,0,300,150.88,4,7
228,female,80000,delivered,1,4,284,76,44,300,often,fair,350,0,0,0,0,320,188.67,5,7
229,female,100000,delivered,1,3,284,76,24,360,not_often,fair,410,0,0,0,0,300,107.45,0,7
230,female,55000,carried,1,3,284,76,24,360,not_often,fair,410,0,0,0,0,300,156.85,2,7
231,female,60000,delivered,1,3,284,76,13,480,often,good,300,0,0,0,0,390,78.11,1,7
232,female,50000,delivered,1,4,284,76,34,330,often,good,380,0,0,0,0,360,118.6,3,7
233,female,45000,delivered,1,3,284,76,5,690,often,very good,500,0,0,0,0,540,42.38,2,7
234,female,95000,delivered,1,6,284,76,54,320,not_often,fair,370,0,0,0,0,300,100.9,4,7
235,male,50000,carried,1,3,284,76,13,480,not_often,fair,300,0,0,0,0,390,66.73,2,7
236,female,65000,delivered,1,5,284,76,48,210,not_often,good,260,0,0,0,0,300,172.24,4,7
237,female,90000,delivered,1,6,284,76,84,165,not_often,fair,210,0,0,0,0,300,201.09,7,7
238,male,90000,delivered,1,6,284,76,64,200,not_often,good,250,0,0,0,0,240,234.88,6,7
239,female,55000,delivered,1,3,284,76,34,330,often,fair,380,0,0,0,0,270,223.29,7,7
240,male,105000,delivered,1,3,284,76,38,285,not_often,good,330,0,0,0,0,240,251.73,10,7
241,female,55000,delivered,1,3,284,76,44,220,not_often,fair,270,0,0,0,0,240,304.38,17,7
242,female,105000,delivered,1,6,284,76,94,285,not_often,fair,330,0,0,0,0,180,367.9,14,7
243,female,95000,delivered,1,6,284,76,94,285,not_often,good,330,0,0,0,0,180,369.86,18,7
244,male,100000,delivered,1,3,284,76,84,270,not_often,good,320,0,0,0,0,150,438.77,15,7
245,male,90000,delivered,1,6,284,76,134,165,not_often,good,210,0,0,0,0,120,446.23,0,7
246,female,70000,delivered,1,5,284,76,113,165,often,fair,210,0,0,0,0,100,378.76,2,7
247,male,100000,delivered,1,2,284,76,84,320,often,good,370,0,0,0,0,100,462.39,22,7
248,male,60000,delivered,1,3,284,76,64,120,not_often,fair,170,0,0,0,0,120,421.35,19,7
249,female,100000,delivered,1,4,284,76,134,210,often,fair,260,0,0,0,1,80,463.04,23,7
250,female,45000,delivered,1,3,284,76,94,120,not_often,good,170,0,0,0,0,90,473.06,18,7
251,female,70000,delivered,1,6,284,76,124,410,not_often,good,460,0,0,0,0,60,544.23,22,7
252,male,45000,delivered,1,3,284,76,134,120,often,good,170,0,0,0,0,60,527.8,19,7
253,male,95000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,60,374.88,2,7
254,female,65000,delivered,1,5,284,76,134,120,not_often,fair,170,0,0,0,0,100,365,0,7
255,male,90000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,60,440.65,3,7
256,male,90000,delivered,1,6,284,76,124,120,often,good,170,0,0,0,0,60,509.4,3,7
257,male,90000,delivered,1,4,284,76,134,120,often,good,170,0,0,0,0,80,578.28,8,7
258,male,90000,delivered,1,6,284,76,124,120,not_often,good,170,0,0,0,0,60,598.07,3,7
259,female,90000,delivered,1,5,284,76,124,120,often,good,170,0,0,0,0,50,541.94,28,7
260,male,90000,delivered,1,6,284,76,134,120,often,good,170,0,0,0,0,60,537.82,9,7
261,male,70000,delivered,1,5,284,76,94,90,not_often,fair,140,0,0,0,0,150,419.44,13,7
262,female,60000,delivered,1,5,284,76,134,90,often,good,140,0,0,0,0,100,467.74,27,7
263,male,65000,delivered,1,5,284,76,134,90,not_often,good,140,0,0,0,0,100,465.28,30,7
264,male,80000,delivered,1,4,284,76,134,90,often,good,140,0,0,0,0,80,496.23,28,7
265,male,55000,delivered,1,3,284,76,134,90,often,fair,140,0,0,0,0,60,578.36,35,7
266,male,80000,delivered,1,4,284,76,134,90,not_often,very good,140,0,0,0,0,80,578.02,21,7
267,female,80000,delivered,1,6,284,76,134,90,not_often,fair,140,0,0,0,0,60,548.89,15,7
268,male,80000,delivered,1,3,284,76,134,90,not_often,good,140,0,0,0,0,60,569.17,13,7
269,female,80000,delivered,1,3,284,76,84,120,not_often,fair,170,0,0,0,0,120,405.76,11,7
270,female,80000,delivered,1,4,284,76,94,120,not_often,good,170,0,0,0,0,120,380.87,10,7
271,female,65000,delivered,1,5,284,76,94,120,not_often,fair,170,0,0,0,0,150,351.37,6,7
272,male,45000,delivered,1,3,284,76,84,165,not_often,good,210,0,0,0,0,150,405.94,8,7
273,male,50000,delivered,1,4,284,76,84,165,often,good,210,0,0,0,0,200,431,9,7
274,female,40000,delivered,1,4,284,76,88,165,not_often,good,210,0,0,0,0,200,414.42,8,7
275,male,85000,delivered,1,6,284,76,94,165,not_often,fair,210,0,0,0,0,180,430.59,8,7
276,female,105000,delivered,1,6,284,76,94,165,often,fair,210,0,0,0,1,180,475.84,10,7
277,female,75000,delivered,1,4,284,76,84,120,often,fair,170,0,0,0,0,160,509.01,6,7
278,male,85000,delivered,1,6,284,76,134,120,not_often,good,170,0,0,0,0,120,576.85,4,7
279,female,65000,delivered,1,5,284,76,134,120,often,good,170,0,0,0,0,100,606.85,36,7
280,female,70000,delivered,1,5,284,76,134,120,often,good,170,0,0,0,0,100,597.34,1,7
281,female,55000,delivered,1,3,284,76,84,120,often,good,170,0,0,0,0,120,588.59,37,7
282,female,55000,delivered,1,4,284,76,88,120,not_often,fair,170,0,0,0,0,160,534.18,31,7
283,female,55000,delivered,1,3,284,76,88,165,often,fair,210,0,0,0,0,150,353.01,5,7
284,male,55000,delivered,1,6,284,76,98,165,not_often,fair,210,0,0,0,0,180,469.66,21,7
285,male,55000,delivered,1,4,284,76,98,165,often,fair,210,0,0,0,0,120,393.91,12,7
286,female,55000,delivered,1,6,284,76,98,165,not_often,fair,210,0,0,0,0,180,317.62,11,7
