,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
76,77,40000,1,4,0,75,120,300,350,0,0,0,0,40,344.41,0,7,1,0,0,0,1,0,1,0,1,0,0,0,123.5776132098814
77,78,45000,1,3,0,75,130,120,170,0,0,0,0,60,315.41,1,7,1,0,0,0,1,0,1,0,0,1,0,0,23.831805891609747
78,79,95000,1,6,0,75,120,120,170,0,0,0,0,60,347.59,2,7,1,0,0,0,1,0,0,1,1,0,0,0,145.38567396676092
79,80,105000,1,4,0,75,120,120,170,0,0,0,0,40,372.86,3,7,1,0,0,0,1,0,0,1,0,1,0,0,115.50119141834037
80,81,75000,1,6,0,75,113,180,230,0,0,0,0,60,408.79,5,7,1,0,0,0,1,0,1,0,0,1,0,0,147.68643179857605
81,82,60000,1,3,0,75,130,120,170,0,0,0,0,60,389.42,4,7,1,0,0,0,1,0,0,1,1,0,0,0,29.227019980060163
82,83,105000,1,3,0,75,130,120,170,0,0,0,0,60,415.88,8,7,1,0,0,0,1,0,0,1,0,1,0,0,82.90894234635758
83,84,95000,1,6,0,75,120,220,270,0,0,0,0,60,465.97,15,7,1,0,0,0,1,0,1,0,1,0,0,0,168.2998928749002
84,85,80000,1,4,0,75,130,120,170,0,0,0,0,80,491.23,11,7,1,0,0,0,1,0,1,0,1,0,0,0,66.13277137694098
85,86,45000,1,3,0,75,92,120,170,0,0,0,0,90,434.01,4,7,1,0,0,0,1,0,1,0,1,0,0,0,50.3013053230392
86,87,60000,1,3,0,75,92,180,230,0,0,0,0,90,491.92,3,7,1,0,0,0,1,0,0,1,0,1,0,0,90.99601123062988
87,88,85000,1,6,0,75,122,120,170,0,0,0,0,60,422.2,3,7,1,0,0,0,1,0,0,1,0,1,0,0,122.38024707262304
88,89,45000,1,3,0,75,62,190,240,0,0,0,0,120,349.23,8,7,1,0,0,0,1,0,0,1,1,0,0,0,109.9530902269891
89,90,45000,1,3,0,75,62,120,170,0,0,0,0,120,326.96,10,7,1,0,0,0,1,0,1,0,0,1,0,0,80.20472560694873
90,91,45000,1,4,0,75,55,165,210,0,0,0,0,200,297.43,7,7,1,0,0,0,1,0,1,0,0,1,0,0,150.12908938084325
91,92,45000,1,4,0,75,62,165,210,0,0,0,0,160,345.24,11,7,1,0,0,0,1,0,1,0,0,1,0,0,124.36357791799821
92,93,45000,1,6,0,75,132,100,150,0,0,0,0,120,318.68,10,7,1,0,0,0,1,0,1,0,1,0,0,0,65.21123646885124
93,94,45000,1,6,0,75,132,165,210,0,0,0,0,120,292.31,9,7,1,0,0,0,1,0,0,1,1,0,0,0,92.54357923971392
94,95,45000,1,6,0,75,135,120,170,0,0,0,0,120,320.98,10,7,1,0,0,0,1,0,1,0,0,0,0,1,26.948953713569836
95,96,45000,1,3,0,75,62,165,210,0,0,0,0,120,359.9,16,7,1,0,0,0,1,0,1,0,0,0,0,1,43.22347904481478
96,97,45000,1,4,0,75,92,165,210,0,0,0,0,120,322.58,12,7,1,0,0,0,1,0,0,1,0,0,0,1,39.08408018856437
97,98,50000,1,4,0,75,55,200,250,0,0,0,0,200,266.32,10,7,1,0,0,0,1,0,1,0,1,0,0,0,173.11229066988392
98,99,80000,1,4,0,75,92,165,210,0,0,0,0,120,364.61,9,7,1,0,0,0,1,0,1,0,1,0,0,0,140.87846168574168
99,100,70000,1,5,0,75,25,285,330,0,0,0,0,400,239.56,2,7,1,0,0,0,1,0,0,1,1,0,0,0,340.9079522326304
100,101,85000,1,6,107,74,32,240,290,0,0,0,0,420,90.27,2,7,1,0,0,0,1,0,0,1,0,1,0,0,374.9464898421444
101,102,105000,1,3,107,74,13,480,300,0,0,0,0,390,201.42,2,7,1,0,0,0,1,0,0,1,1,0,0,0,399.5779896675583
102,103,40000,1,4,107,74,42,285,330,0,0,0,0,320,154.25,3,7,1,0,0,0,1,0,1,0,1,0,0,0,264.4317583266892
103,104,65000,1,5,107,74,62,210,260,0,0,0,0,300,169.96,3,7,1,0,0,0,1,0,0,1,1,0,0,0,254.03049670599523
104,105,85000,1,6,107,74,65,165,210,0,0,0,0,300,173.93,6,7,1,0,0,0,1,0,1,0,1,0,0,0,274.5377869486275
105,106,60000,1,3,107,74,25,405,450,0,0,0,0,330,144.14,6,7,1,0,0,0,1,0,1,0,0,1,0,0,343.9248166429154
106,107,75000,1,4,107,74,25,200,250,0,0,0,0,320,164.0,6,7,1,0,0,0,1,0,1,0,0,0,0,1,237.96133959773744
107,108,55000,1,5,107,74,25,285,330,0,0,0,0,400,108.26,2,7,1,0,0,0,1,0,1,0,1,0,0,0,341.75960479729673
108,109,95000,1,6,107,74,42,210,260,0,0,0,0,360,113.89,2,7,1,0,0,0,1,0,0,1,0,1,0,0,350.2261215020792
109,110,75000,1,4,107,74,32,330,380,0,0,0,0,360,183.35,1,7,1,0,0,0,1,0,1,0,0,1,0,0,355.1876612216779
110,111,85000,1,6,107,74,52,165,210,0,0,0,0,300,226.74,2,7,1,0,0,0,1,0,1,0,1,0,0,0,288.61348552314007
111,112,85000,1,4,107,74,42,240,290,0,0,0,0,280,283.47,1,7,1,0,0,0,1,0,1,0,1,0,0,0,291.89843339529216
112,113,85000,1,3,107,74,25,360,410,0,0,0,0,300,261.69,2,7,1,0,0,0,1,0,1,0,0,1,0,0,350.04033944569096
113,114,85000,1,4,107,74,25,405,450,0,0,0,0,440,118.68,2,7,1,0,0,1,0,0,0,1,0,1,0,0,418.55685140085586
114,115,85000,1,5,107,74,22,450,500,0,0,0,0,600,33.53,1,7,1,0,0,0,1,0,0,1,1,0,0,0,515.9093806707642
115,116,85000,1,5,107,74,52,210,260,0,0,0,0,300,142.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,294.45911521013227
116,117,85000,1,4,107,74,35,220,270,0,0,0,0,400,81.5,0,7,1,0,0,1,0,0,1,0,0,1,0,0,325.87634674589737
117,118,85000,1,5,107,74,32,285,330,0,0,0,0,400,88.28,2,7,1,0,0,1,0,0,1,0,0,1,0,0,371.536808647978
