,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,300,37.12,1,7,1,0,0,1,0,0,0,1,1,0,0,0,325.55923945852425
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,240,77.16,2,7,1,0,0,0,1,0,0,1,0,1,0,0,226.97947456061257
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,200,118.44,2,7,1,0,0,0,1,0,1,0,0,1,0,0,181.6205754270629
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,120,176.82,3,7,1,0,0,0,1,0,1,0,0,0,0,1,129.24637963938807
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,80,235.36,6,7,1,0,0,0,1,0,1,0,0,0,0,1,92.8623784025936
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,60,254.87,7,7,1,0,0,0,1,0,0,1,0,0,0,1,92.79176431979599
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,60,296.1,9,7,1,0,0,0,1,0,0,1,0,1,0,0,86.68984757115811
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,120,207.2,5,7,1,0,0,1,0,0,0,1,0,1,0,0,181.43793765653044
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,90,238.32,6,7,1,0,0,1,0,0,0,1,0,1,0,0,151.9815341397441
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,120,197.28,5,7,1,0,0,0,1,0,0,1,0,1,0,0,121.94836307083551
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,60,228.64,6,7,1,0,0,0,1,0,0,1,0,1,0,0,130.01117289485782
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,40,237.98,6,7,1,0,0,0,1,0,1,0,1,0,0,0,112.12631483245194
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,100,197.31,5,7,1,0,0,0,1,0,1,0,1,0,0,0,119.5619358896438
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,120,209.4,5,7,1,0,0,0,1,0,0,1,1,0,0,0,120.68035639418773
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,80,261.01,6,7,1,0,0,0,1,0,0,1,1,0,0,0,119.36562959321094
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,100,234.85,6,7,1,0,0,0,1,0,0,1,0,1,0,0,111.02013597152825
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,80,281.32,4,7,1,0,0,0,1,0,1,0,0,1,0,0,91.1203635537836
76,77,40000,1,4,0,75,120,300,350,0,0,0,0,40,344.41,0,7,1,0,0,0,1,0,1,0,1,0,0,0,120.42955689422809
77,78,45000,1,3,0,75,130,120,170,0,0,0,0,60,315.41,1,7,1,0,0,0,1,0,1,0,0,1,0,0,92.20249348267825
78,79,95000,1,6,0,75,120,120,170,0,0,0,0,60,347.59,2,7,1,0,0,0,1,0,0,1,1,0,0,0,116.95721286713069
79,80,105000,1,4,0,75,120,120,170,0,0,0,0,40,372.86,3,7,1,0,0,0,1,0,0,1,0,1,0,0,87.87167827378438
80,81,75000,1,6,0,75,113,180,230,0,0,0,0,60,408.79,5,7,1,0,0,0,1,0,1,0,0,1,0,0,109.69278675286738
81,82,60000,1,3,0,75,130,120,170,0,0,0,0,60,389.42,4,7,1,0,0,0,1,0,0,1,1,0,0,0,95.93774012713936
82,83,105000,1,3,0,75,130,120,170,0,0,0,0,60,415.88,8,7,1,0,0,0,1,0,0,1,0,1,0,0,86.04901102898847
83,84,95000,1,6,0,75,120,220,270,0,0,0,0,60,465.97,15,7,1,0,0,0,1,0,1,0,1,0,0,0,104.00951878065844
84,85,80000,1,4,0,75,130,120,170,0,0,0,0,80,491.23,11,7,1,0,0,0,1,0,1,0,1,0,0,0,86.5517807684973
85,86,45000,1,3,0,75,92,120,170,0,0,0,0,90,434.01,4,7,1,0,0,0,1,0,1,0,1,0,0,0,105.46601331704225
86,87,60000,1,3,0,75,92,180,230,0,0,0,0,90,491.92,3,7,1,0,0,0,1,0,0,1,0,1,0,0,118.77704544504567
87,88,85000,1,6,0,75,122,120,170,0,0,0,0,60,422.2,3,7,1,0,0,0,1,0,0,1,0,1,0,0,82.2862174859356
88,89,45000,1,3,0,75,62,190,240,0,0,0,0,120,349.23,8,7,1,0,0,0,1,0,0,1,1,0,0,0,120.96179847456598
89,90,45000,1,3,0,75,62,120,170,0,0,0,0,120,326.96,10,7,1,0,0,0,1,0,1,0,0,1,0,0,120.60793765659444
90,91,45000,1,4,0,75,55,165,210,0,0,0,0,200,297.43,7,7,1,0,0,0,1,0,1,0,0,1,0,0,134.20790399175405
91,92,45000,1,4,0,75,62,165,210,0,0,0,0,160,345.24,11,7,1,0,0,0,1,0,1,0,0,1,0,0,156.6286441834989
92,93,45000,1,6,0,75,132,100,150,0,0,0,0,120,318.68,10,7,1,0,0,0,1,0,1,0,1,0,0,0,91.0234618419797
93,94,45000,1,6,0,75,132,165,210,0,0,0,0,120,292.31,9,7,1,0,0,0,1,0,0,1,1,0,0,0,101.56116714756392
94,95,45000,1,6,0,75,135,120,170,0,0,0,0,120,320.98,10,7,1,0,0,0,1,0,1,0,0,0,0,1,88.17480694679757
95,96,45000,1,3,0,75,62,165,210,0,0,0,0,120,359.9,16,7,1,0,0,0,1,0,1,0,0,0,0,1,100.5673998989232
96,97,45000,1,4,0,75,92,165,210,0,0,0,0,120,322.58,12,7,1,0,0,0,1,0,0,1,0,0,0,1,98.93479300318391
97,98,50000,1,4,0,75,55,200,250,0,0,0,0,200,266.32,10,7,1,0,0,0,1,0,1,0,1,0,0,0,155.59141423308645
98,99,80000,1,4,0,75,92,165,210,0,0,0,0,120,364.61,9,7,1,0,0,0,1,0,1,0,1,0,0,0,119.84337797002206
99,100,70000,1,5,0,75,25,285,330,0,0,0,0,400,239.56,2,7,1,0,0,0,1,0,0,1,1,0,0,0,318.0780433581933
100,101,85000,1,6,107,74,32,240,290,0,0,0,0,420,90.27,2,7,1,0,0,0,1,0,0,1,0,1,0,0,410.5216624244056
101,102,105000,1,3,107,74,13,480,300,0,0,0,0,390,201.42,2,7,1,0,0,0,1,0,0,1,1,0,0,0,437.94244008883675
102,103,40000,1,4,107,74,42,285,330,0,0,0,0,320,154.25,3,7,1,0,0,0,1,0,1,0,1,0,0,0,264.6066181731166
103,104,65000,1,5,107,74,62,210,260,0,0,0,0,300,169.96,3,7,1,0,0,0,1,0,0,1,1,0,0,0,266.5435815528826
104,105,85000,1,6,107,74,65,165,210,0,0,0,0,300,173.93,6,7,1,0,0,0,1,0,1,0,1,0,0,0,241.5386237100022
105,106,60000,1,3,107,74,25,405,450,0,0,0,0,330,144.14,6,7,1,0,0,0,1,0,1,0,0,1,0,0,388.73756075815515
106,107,75000,1,4,107,74,25,200,250,0,0,0,0,320,164.0,6,7,1,0,0,0,1,0,1,0,0,0,0,1,265.5116380795972
107,108,55000,1,5,107,74,25,285,330,0,0,0,0,400,108.26,2,7,1,0,0,0,1,0,1,0,1,0,0,0,331.8349261944295
108,109,95000,1,6,107,74,42,210,260,0,0,0,0,360,113.89,2,7,1,0,0,0,1,0,0,1,0,1,0,0,335.18167117147294
109,110,75000,1,4,107,74,32,330,380,0,0,0,0,360,183.35,1,7,1,0,0,0,1,0,1,0,0,1,0,0,372.6227084562432
110,111,85000,1,6,107,74,52,165,210,0,0,0,0,300,226.74,2,7,1,0,0,0,1,0,1,0,1,0,0,0,291.4489139403009
111,112,85000,1,4,107,74,42,240,290,0,0,0,0,280,283.47,1,7,1,0,0,0,1,0,1,0,1,0,0,0,292.06218202198806
112,113,85000,1,3,107,74,25,360,410,0,0,0,0,300,261.69,2,7,1,0,0,0,1,0,1,0,0,1,0,0,371.67233862728943
113,114,85000,1,4,107,74,25,405,450,0,0,0,0,440,118.68,2,7,1,0,0,1,0,0,0,1,0,1,0,0,482.2104966095997
114,115,85000,1,5,107,74,22,450,500,0,0,0,0,600,33.53,1,7,1,0,0,0,1,0,0,1,1,0,0,0,575.6643336128668
115,116,85000,1,5,107,74,52,210,260,0,0,0,0,300,142.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,278.698692513968
116,117,85000,1,4,107,74,35,220,270,0,0,0,0,400,81.5,0,7,1,0,0,1,0,0,1,0,0,1,0,0,299.4232551655554
117,118,85000,1,5,107,74,32,285,330,0,0,0,0,400,88.28,2,7,1,0,0,1,0,0,1,0,0,1,0,0,350.0210636005926
118,119,100000,1,3,107,74,25,180,230,0,0,0,0,300,199.4,5,7,1,0,0,0,1,0,1,0,0,1,0,0,270.09641066059174
119,120,80000,1,6,107,74,52,165,210,0,0,0,0,300,172.0,7,7,1,0,0,0,1,0,1,0,0,1,0,0,285.7308373221929
120,121,40000,1,4,107,74,35,285,330,0,0,0,0,320,147.49,3,7,0,1,0,0,1,0,0,1,1,0,0,0,276.5977786493033
121,122,50000,1,4,107,74,25,360,410,0,0,0,0,400,57.01,1,7,1,0,0,0,1,0,0,1,1,0,0,0,373.587125093981
122,123,100000,1,3,107,74,13,480,300,0,0,0,0,390,56.75,2,7,1,0,0,1,0,0,1,0,0,1,0,0,469.2320899229115
123,124,100000,1,4,107,74,35,220,270,0,0,0,0,320,145.91,8,7,1,0,0,0,1,0,0,1,0,1,0,0,308.3543332114034
124,125,40000,1,4,107,74,22,405,450,0,0,0,0,440,55.01,1,7,1,0,0,0,1,0,1,0,0,1,0,0,434.47628959129446
125,126,100000,1,3,107,74,13,350,400,0,0,0,0,390,88.62,4,7,1,0,0,1,0,0,1,0,0,1,0,0,465.3988504471288
126,127,60000,1,3,107,74,13,480,300,0,0,0,0,390,97.74,3,7,1,0,0,1,0,0,0,1,0,1,0,0,407.24616167130137
127,128,40000,1,4,107,74,22,450,500,0,0,0,0,480,32.02,1,7,1,0,0,1,0,0,1,0,1,0,0,0,481.44415339345585
128,129,95000,1,6,107,74,42,240,290,0,0,0,0,420,79.88,0,7,1,0,0,1,0,0,0,1,0,1,0,0,368.0355251411077
129,130,45000,1,3,107,74,13,480,300,0,0,0,1,390,95.52,4,7,1,0,0,0,1,0,1,0,0,1,0,0,388.01995603276623
130,131,85000,1,4,107,74,25,405,450,0,0,0,0,440,56.01,1,7,1,0,0,1,0,0,0,1,0,1,0,0,487.2793522828928
131,132,60000,1,3,107,74,22,450,500,0,0,0,0,360,94.37,1,7,1,0,0,0,1,0,1,0,1,0,0,0,463.3115009545688
132,133,75000,1,4,107,74,15,480,300,0,0,0,0,520,23.85,1,7,1,0,0,0,1,0,0,1,0,1,0,0,448.15375529923074
133,134,80000,1,4,107,74,25,300,350,0,0,0,0,440,74.17,1,7,1,0,0,1,0,0,1,0,0,1,0,0,414.70177166737136
134,135,95000,1,6,107,74,42,240,290,0,0,0,0,420,79.2,1,7,1,0,0,1,0,0,0,1,1,0,0,0,381.2661951260077
