,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,120,197.28,5,7,1,0,0,0,1,0,0,1,0,1,0,0,148.3918312064047
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,60,228.64,6,7,1,0,0,0,1,0,0,1,0,1,0,0,199.69120743619342
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,40,237.98,6,7,1,0,0,0,1,0,1,0,1,0,0,0,74.30799304160894
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,100,197.31,5,7,1,0,0,0,1,0,1,0,1,0,0,0,106.23884550261954
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,120,209.4,5,7,1,0,0,0,1,0,0,1,1,0,0,0,110.44540136725826
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,80,261.01,6,7,1,0,0,0,1,0,0,1,1,0,0,0,133.02875540802273
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,100,234.85,6,7,1,0,0,0,1,0,0,1,0,1,0,0,122.53387608935884
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,80,281.32,4,7,1,0,0,0,1,0,1,0,0,1,0,0,72.4385983766876
76,77,40000,1,4,0,75,120,300,350,0,0,0,0,40,344.41,0,7,1,0,0,0,1,0,1,0,1,0,0,0,121.86087488094486
77,78,45000,1,3,0,75,130,120,170,0,0,0,0,60,315.41,1,7,1,0,0,0,1,0,1,0,0,1,0,0,10.243349287780234
78,79,95000,1,6,0,75,120,120,170,0,0,0,0,60,347.59,2,7,1,0,0,0,1,0,0,1,1,0,0,0,143.80866400383155
79,80,105000,1,4,0,75,120,120,170,0,0,0,0,40,372.86,3,7,1,0,0,0,1,0,0,1,0,1,0,0,114.79900164126352
80,81,75000,1,6,0,75,113,180,230,0,0,0,0,60,408.79,5,7,1,0,0,0,1,0,1,0,0,1,0,0,151.6475043163916
81,82,60000,1,3,0,75,130,120,170,0,0,0,0,60,389.42,4,7,1,0,0,0,1,0,0,1,1,0,0,0,11.995240744477144
82,83,105000,1,3,0,75,130,120,170,0,0,0,0,60,415.88,8,7,1,0,0,0,1,0,0,1,0,1,0,0,77.85070176691534
83,84,95000,1,6,0,75,120,220,270,0,0,0,0,60,465.97,15,7,1,0,0,0,1,0,1,0,1,0,0,0,171.25638323311142
84,85,80000,1,4,0,75,130,120,170,0,0,0,0,80,491.23,11,7,1,0,0,0,1,0,1,0,1,0,0,0,53.7058517545359
85,86,45000,1,3,0,75,92,120,170,0,0,0,0,90,434.01,4,7,1,0,0,0,1,0,1,0,1,0,0,0,36.53783248351431
86,87,60000,1,3,0,75,92,180,230,0,0,0,0,90,491.92,3,7,1,0,0,0,1,0,0,1,0,1,0,0,88.3335178530391
